player_id,player_name,round_num,round_pick,fantasy_team
3112335,Nikola Jokic,1,1,Hawk Tuah Demure
4278073,Shai Gilgeous-Alexander,1,2,YSK FC
3032977,Giannis Antetokounmpo,1,3,Goat's
5104157,Victor Wembanyama,1,4,Van Der Linde Gang
4594268,Anthony Edwards,1,5,Poole Party
3945274,Luka Doncic,1,6,SKAVALASSKKYYYY
3136195,Karl-Anthony Towns,1,7,Kat's Kittens
4432166,Cade Cunningham,1,8,Phantom Troupe
3155942,Domantas Sabonis,1,9,Jeremy Lin fan club
1966,LeBron James,1,10,ybgcorp
4277905,Trae Young,2,1,ybgcorp
3136193,Devin Booker,2,2,Jeremy Lin fan club
4017837,Ivica Zubac,2,3,Phantom Troupe
6583,Anthony Davis,2,4,Kat's Kittens
3917376,Jaylen Brown,2,5,SKAVALASSKKYYYY
4593803,Jalen Williams,2,6,Poole Party
3934672,Jalen Brunson,2,7,Van Der Linde Gang
3202,Kevin Durant,2,8,Goat's
4871144,Alperen Sengun,2,9,YSK FC
3908809,Donovan Mitchell,2,10,Hawk Tuah Demure
4871145,Josh Giddey,3,1,Hawk Tuah Demure
4432573,Paolo Banchero,3,2,YSK FC
4066261,Bam Adebayo,3,3,Goat's
4566434,Franz Wagner,3,4,Van Der Linde Gang
3149673,Pascal Siakam,3,5,Poole Party
3992,James Harden,3,6,SKAVALASSKKYYYY
4431678,Tyrese Maxey,3,7,Kat's Kittens
4395628,Zion Williamson,3,8,Phantom Troupe
6478,Nikola Vucevic,3,9,Jeremy Lin fan club
4869342,Dyson Daniels,3,10,ybgcorp
4701230,Jalen Johnson,4,1,ybgcorp
4432816,LaMelo Ball,4,2,Jeremy Lin fan club
3978,DeMar DeRozan,4,3,Phantom Troupe
4395625,RJ Barrett,4,4,Kat's Kittens
3975,Stephen Curry,4,5,SKAVALASSKKYYYY
4432158,Evan Mobley,4,6,Poole Party
4433134,Scottie Barnes,4,7,Van Der Linde Gang
3936299,Jamal Murray,4,8,Goat's
4277961,Jaren Jackson Jr.,4,9,YSK FC
4279888,Ja Morant,4,10,Hawk Tuah Demure
4684740,Amen Thompson,5,1,Hawk Tuah Demure
3078576,Derrick White,5,2,YSK FC
6430,Jimmy Butler III,5,3,Goat's
3133628,Myles Turner,5,4,Van Der Linde Gang
4066259,De'Aaron Fox,5,5,Poole Party
5041939,Cooper Flagg,5,6,SKAVALASSKKYYYY
3062679,Josh Hart,5,7,Kat's Kittens
4066320,Desmond Bane,5,8,Phantom Troupe
4433255,Chet Holmgren,5,9,Jeremy Lin fan club
4066457,Austin Reaves,5,10,ybgcorp
4066328,Jarrett Allen,6,1,ybgcorp
3147657,Mikal Bridges,6,2,Jeremy Lin fan club
4395651,Coby White,6,3,Phantom Troupe
4433621,Jalen Duren,6,4,Kat's Kittens
3032976,Rudy Gobert,6,5,SKAVALASSKKYYYY
4437244,Jalen Green,6,6,Poole Party
4066383,Miles Bridges,6,7,Van Der Linde Gang
3064440,Zach LaVine,6,8,Goat's
4397688,Trey Murphy III,6,9,YSK FC
4433136,Walker Kessler,6,10,Hawk Tuah Demure
4396907,Darius Garland,7,1,Hawk Tuah Demure
4277956,Jordan Poole,7,2,YSK FC
4914336,Shaedon Sharpe,7,3,Goat's
2595516,Norman Powell,7,4,Van Der Linde Gang
4278104,Michael Porter Jr.,7,5,Poole Party
3102531,Kristaps Porzingis,7,6,SKAVALASSKKYYYY
2530530,T.J. McConnell,7,7,Kat's Kittens
3934719,OG Anunoby,7,8,Phantom Troupe
4397140,Kevin Porter Jr.,7,9,Jeremy Lin fan club
3134908,Jakob Poeltl,7,10,ybgcorp
4431767,Christian Braun,8,1,ybgcorp
4395725,Tyler Herro,8,2,Jeremy Lin fan club
3913176,Brandon Ingram,8,3,Phantom Troupe
3064514,Julius Randle,8,4,Kat's Kittens
4278067,Nic Claxton,8,5,SKAVALASSKKYYYY
4351851,Anfernee Simons,8,6,Poole Party
4066262,Malik Monk,8,7,Van Der Linde Gang
2490149,CJ McCollum,8,8,Goat's
3059319,Andrew Wiggins,8,9,YSK FC
3059318,Joel Embiid,8,10,Hawk Tuah Demure
4066336,Lauri Markkanen,9,1,Hawk Tuah Demure
4066354,Payton Pritchard,9,2,YSK FC
6450,Kawhi Leonard,9,3,Goat's
4683021,Deni Avdija,9,4,Van Der Linde Gang
5160992,Alex Sarr,9,5,Poole Party
4396971,Naz Reid,9,6,SKAVALASSKKYYYY
4431680,Onyeka Okongwu,9,7,Kat's Kittens
4278049,Daniel Gafford,9,8,Phantom Troupe
4431671,Jaden McDaniels,9,9,Jeremy Lin fan club
4433287,Brandon Miller,9,10,ybgcorp
4222252,Isaiah Hartenstein,10,1,ybgcorp
4432174,Cam Thomas,10,2,Jeremy Lin fan club
3908845,John Collins,10,3,Phantom Troupe
4431785,Scotty Pippen Jr.,10,4,Kat's Kittens
3064290,Aaron Gordon,10,5,SKAVALASSKKYYYY
4277811,Collin Sexton,10,6,Poole Party
4683634,Bennedict Mathurin,10,7,Van Der Linde Gang
3138196,Cameron Johnson,10,8,Goat's
4395712,Andrew Nembhard,10,9,YSK FC
4594327,Keegan Murray,10,10,Hawk Tuah Demure
4395630,Devin Vassell,11,1,Hawk Tuah Demure
6589,Draymond Green,11,2,YSK FC
4395724,Immanuel Quickley,11,3,Goat's
4278129,Deandre Ayton,11,4,Van Der Linde Gang
3136776,D'Angelo Russell,11,5,Poole Party
6440,Tobias Harris,11,6,SKAVALASSKKYYYY
4845367,Stephon Castle,11,7,Kat's Kittens
4684742,Ausar Thompson,11,8,Phantom Troupe
4593125,Santi Aldama,11,9,Jeremy Lin fan club
6442,Kyrie Irving,11,10,ybgcorp
4397014,Quentin Grimes,12,1,ybgcorp
4432165,Jalen Suggs,12,2,Jeremy Lin fan club
4065733,Ty Jerome,12,3,Phantom Troupe
4251,Paul George,12,4,Kat's Kittens
2779,Chris Paul,12,5,SKAVALASSKKYYYY
5238230,Tre Johnson,12,6,Poole Party
4433627,Keyonte George,12,7,Van Der Linde Gang
4397020,Luguentz Dort,12,8,Goat's
4278355,Obi Toppin,12,9,YSK FC
4701232,Mark Williams,12,10,Hawk Tuah Demure
4431736,Toumani Camara,13,1,Hawk Tuah Demure
3133603,Kelly Oubre Jr.,13,2,YSK FC
6580,Bradley Beal,13,3,Goat's
5105623,Kel'el Ware,13,4,Van Der Linde Gang
4873138,Ace Bailey,13,5,Poole Party
6475,Klay Thompson,13,6,SKAVALASSKKYYYY
5105592,Cam Whitmore,13,7,Kat's Kittens
3064482,Bobby Portis,13,8,Phantom Troupe
4683774,Bronny James,13,9,Jeremy Lin fan club
4433218,Jaden Ivey,13,10,ybgcorp
