player_id,player_name,team_name,position,pro_team,pos_rank,total_points,avg_points,projected_total_points,projected_avg_points,games_played
4278073,Shai Gilgeous-Alexander,YSK FC,PG,OKC,2,3773.0,55.49,4527.0,59.57,68.0
4871144,Alperen Sengun,YSK FC,C,HOU,3,3158.0,43.86,3126.0,41.13,72.0
4432573,Paolo Banchero,YSK FC,PF,ORL,4,2726.0,37.86,2923.0,40.6,72.0
3078576,Derrick White,YSK FC,SG,BOS,3,2865.0,37.21,2744.0,37.59,77.0
4397688,Trey Murphy III,YSK FC,SF,NOP,9,2673.0,40.5,2579.0,36.32,66.0
3059319,Andrew Wiggins,YSK FC,SF,MIA,20,2174.0,31.97,2458.0,33.22,68.0
4066354,Payton Pritchard,YSK FC,PG,BOS,9,2645.0,33.48,2285.0,28.92,79.0
3133603,Kelly Oubre Jr.,YSK FC,SF,PHL,43,1363.0,27.26,2006.0,29.07,50.0
3468,Russell Westbrook,YSK FC,PG,SAC,16,2082.0,32.53,1841.0,27.48,64.0
4278067,Nic Claxton,YSK FC,C,BKN,16,2088.0,30.26,2234.0,30.19,69.0
4432848,Jaime Jaquez Jr.,YSK FC,SF,MIA,15,2236.0,29.81,1622.0,22.22,75.0
4278594,Naji Marshall,YSK FC,SF,DAL,22,2079.0,28.09,1696.0,23.23,74.0
4395651,Coby White,YSK FC,PG,CHA,36,1306.0,26.12,2844.0,37.42,50.0
4684793,Kyle Filipowski,YSK FC,PF,UTA,10,2035.0,26.43,1816.0,24.54,77.0
4432166,Cade Cunningham,Phantom Troupe,PG,DET,5,3226.0,50.41,3514.0,48.81,64.0
4017837,Ivica Zubac,Phantom Troupe,C,IND,30,1509.0,31.44,2787.0,35.73,48.0
4395628,Zion Williamson,Phantom Troupe,PF,NOP,9,2207.0,35.6,2976.0,46.5,62.0
3978,DeMar DeRozan,Phantom Troupe,SF,SAC,11,2480.0,32.21,2948.0,38.29,77.0
4066320,Desmond Bane,Phantom Troupe,SG,ORL,2,2921.0,35.62,2871.0,40.44,82.0
3934719,OG Anunoby,Phantom Troupe,SF,NYK,17,2214.0,33.04,2472.0,34.82,67.0
3913176,Brandon Ingram,Phantom Troupe,SF,TOR,6,2742.0,35.61,2437.0,37.49,77.0
4684742,Ausar Thompson,Phantom Troupe,SF,DET,19,2188.0,29.97,2116.0,31.12,73.0
5124612,VJ Edgecombe,Phantom Troupe,SG,PHL,9,2550.0,34.0,1767.0,25.24,75.0
4432639,Jabari Smith Jr.,Phantom Troupe,PF,HOU,7,2359.0,30.64,1767.0,25.99,77.0
4395626,Tre Jones,Phantom Troupe,PG,CHI,17,2052.0,31.57,1578.0,24.28,65.0
5037871,Dylan Harper,Phantom Troupe,PG,SAS,26,1731.0,25.09,1905.0,27.21,69.0
4065648,Jayson Tatum,Phantom Troupe,PF,BOS,56,682.0,42.62,0.0,0.0,16.0
4683634,Bennedict Mathurin,Phantom Troupe,SF,LAC,39,1424.0,26.37,2091.0,28.26,54.0
4277811,Collin Sexton,Phantom Troupe,SG,CHI,23,1766.0,25.97,1894.0,26.31,68.0
3136195,Karl-Anthony Towns,Kat's Kittens,C,NYK,4,2947.0,39.29,3400.0,45.95,75.0
4431678,Tyrese Maxey,Kat's Kittens,PG,PHL,3,3651.0,52.16,3191.0,44.94,70.0
4395625,RJ Barrett,Kat's Kittens,SF,TOR,27,1825.0,32.02,2395.0,34.21,57.0
3062679,Josh Hart,Kat's Kittens,SF,NYK,21,2099.0,31.8,2827.0,37.69,66.0
4433621,Jalen Duren,Kat's Kittens,C,DET,6,2714.0,38.77,2612.0,34.37,70.0
3064514,Julius Randle,Kat's Kittens,PF,MIN,3,2941.0,37.23,2438.0,34.34,79.0
