fantasy_team,total_picks,scored_picks,unscored_picks,total_vope_score,average_vope_score_per_pick
Van Der Linde Gang,13,13,0,1921.75,147.82692307692307
Hawk Tuah Demure,13,11,2,1520.75,138.25
SKAVALASSKKYYYY,13,12,1,1320.2166666666667,110.01805555555556
Kat's Kittens,13,11,2,981.6333333333334,89.23939393939395
Goat's,13,12,1,720.0,60.0
Phantom Troupe,13,12,1,599.2166666666667,49.93472222222223
YSK FC,13,13,0,593.75,45.67307692307692
ybgcorp,13,11,2,-1318.8666666666666,-119.89696969696969
Jeremy Lin fan club,13,12,1,-1582.2,-131.85
Poole Party,13,13,0,-4756.25,-365.86538461538464
