season_year,team_id,team_name,weeks,avg_weekly_efficiency,total_points_left_on_bench,avg_points_left_per_week,management_misses,worst_week,worst_week_points_left
2026,1,YSK FC,22,1.0,0.0,0.0,0,1,0.0
2026,2,Phantom Troupe,22,1.0,0.0,0.0,0,1,0.0
2026,3,Kat's Kittens,22,1.0,0.0,0.0,0,1,0.0
2026,4,SKAVALASSKKYYYY,22,1.0,0.0,0.0,0,1,0.0
2026,5,Poole Party,22,1.0,0.0,0.0,0,1,0.0
2026,6,Jeremy Lin fan club,22,1.0,0.0,0.0,0,1,0.0
2026,7,Goat's,22,1.0,0.0,0.0,0,1,0.0
2026,8,Hawk Tuah Demure,22,1.0,0.0,0.0,0,1,0.0
2026,9,ybgcorp,22,1.0,0.0,0.0,0,1,0.0
2026,10,Van Der Linde Gang,22,1.0,0.0,0.0,0,1,0.0
