season_year,week,team_id,team_name,actual_points,optimal_points,points_left,efficiency,management_misses
2026,1,1,YSK FC,1023.0,1023.0,0.0,1.0,0
2026,1,2,Phantom Troupe,1082.0,1082.0,0.0,1.0,0
2026,1,3,Kat's Kittens,1065.0,1065.0,0.0,1.0,0
2026,1,4,SKAVALASSKKYYYY,1215.0,1215.0,0.0,1.0,0
2026,1,5,Poole Party,953.0,953.0,0.0,1.0,0
2026,1,6,Jeremy Lin fan club,1093.0,1093.0,0.0,1.0,0
2026,1,7,Goat's,1147.0,1147.0,0.0,1.0,0
2026,1,8,Hawk Tuah Demure,933.0,933.0,0.0,1.0,0
2026,1,9,ybgcorp,857.0,857.0,0.0,1.0,0
2026,1,10,Van Der Linde Gang,1361.0,1361.0,0.0,1.0,0
2026,2,1,YSK FC,1519.0,1519.0,0.0,1.0,0
2026,2,2,Phantom Troupe,1271.0,1271.0,0.0,1.0,0
2026,2,3,Kat's Kittens,1285.0,1285.0,0.0,1.0,0
2026,2,4,SKAVALASSKKYYYY,1255.0,1255.0,0.0,1.0,0
2026,2,5,Poole Party,1243.0,1243.0,0.0,1.0,0
2026,2,6,Jeremy Lin fan club,1548.0,1548.0,0.0,1.0,0
2026,2,7,Goat's,1339.0,1339.0,0.0,1.0,0
2026,2,8,Hawk Tuah Demure,1522.0,1522.0,0.0,1.0,0
2026,2,9,ybgcorp,1364.0,1364.0,0.0,1.0,0
2026,2,10,Van Der Linde Gang,1453.0,1453.0,0.0,1.0,0
2026,3,1,YSK FC,1733.0,1733.0,0.0,1.0,0
2026,3,2,Phantom Troupe,1293.0,1293.0,0.0,1.0,0
2026,3,3,Kat's Kittens,1374.0,1374.0,0.0,1.0,0
2026,3,4,SKAVALASSKKYYYY,1368.0,1368.0,0.0,1.0,0
2026,3,5,Poole Party,1217.0,1217.0,0.0,1.0,0
2026,3,6,Jeremy Lin fan club,1351.0,1351.0,0.0,1.0,0
2026,3,7,Goat's,1222.0,1222.0,0.0,1.0,0
2026,3,8,Hawk Tuah Demure,1675.0,1675.0,0.0,1.0,0
2026,3,9,ybgcorp,992.0,992.0,0.0,1.0,0
2026,3,10,Van Der Linde Gang,1246.0,1246.0,0.0,1.0,0
2026,4,1,YSK FC,1372.0,1372.0,0.0,1.0,0
2026,4,2,Phantom Troupe,1052.0,1052.0,0.0,1.0,0
2026,4,3,Kat's Kittens,1097.0,1097.0,0.0,1.0,0
