rank,season_year,team_id,team_name,power_score,all_play_win_pct,actual_win_pct,luck,points_for_per_week,avg_weekly_efficiency,recent_form,wins,losses,standing
1,2026,8,Hawk Tuah Demure,1.3669,0.6515,0.7727,0.1212,1518.9091,1.0,0.963,17,5,1
2,2026,1,YSK FC,0.809,0.6414,0.6364,-0.0051,1465.3182,1.0,0.4444,14,8,2
3,2026,6,Jeremy Lin fan club,0.6466,0.5909,0.5909,0.0,1456.5,1.0,0.6296,13,9,4
4,2026,7,Goat's,0.536,0.5909,0.5455,-0.0455,1451.1364,1.0,0.5185,12,10,3
5,2026,4,SKAVALASSKKYYYY,0.0246,0.4949,0.4545,-0.0404,1408.4091,1.0,0.5926,10,12,8
6,2026,2,Phantom Troupe,-0.0698,0.4545,0.4545,0.0,1400.9091,1.0,0.7407,10,12,7
7,2026,9,ybgcorp,-0.2861,0.4697,0.5,0.0303,1355.1364,1.0,0.3333,11,11,5
8,2026,10,Van Der Linde Gang,-0.5335,0.4091,0.4545,0.0455,1356.5455,1.0,0.3333,10,12,9
9,2026,3,Kat's Kittens,-0.6412,0.4545,0.4091,-0.0455,1289.0909,1.0,0.2963,9,13,6
10,2026,5,Poole Party,-1.8526,0.2424,0.1818,-0.0606,1222.5,1.0,0.1481,4,18,10
