season_year,week,home_team_id,home_team,home_score,away_team_id,away_team,away_score,winner,loser,winner_team_id,loser_team_id,margin
2026,1,4,SKAVALASSKKYYYY,1215.0,8,Hawk Tuah Demure,933.0,SKAVALASSKKYYYY,Hawk Tuah Demure,4,8,282.0
2026,1,5,Poole Party,953.0,3,Kat's Kittens,1065.0,Kat's Kittens,Poole Party,3,5,112.0
2026,1,10,Van Der Linde Gang,1361.0,2,Phantom Troupe,1082.0,Van Der Linde Gang,Phantom Troupe,10,2,279.0
2026,1,7,Goat's,1147.0,1,YSK FC,1023.0,Goat's,YSK FC,7,1,124.0
2026,1,9,ybgcorp,857.0,6,Jeremy Lin fan club,1093.0,Jeremy Lin fan club,ybgcorp,6,9,236.0
2026,2,8,Hawk Tuah Demure,1522.0,3,Kat's Kittens,1285.0,Hawk Tuah Demure,Kat's Kittens,8,3,237.0
2026,2,2,Phantom Troupe,1271.0,4,SKAVALASSKKYYYY,1255.0,Phantom Troupe,SKAVALASSKKYYYY,2,4,16.0
2026,2,1,YSK FC,1519.0,5,Poole Party,1243.0,YSK FC,Poole Party,1,5,276.0
2026,2,6,Jeremy Lin fan club,1548.0,10,Van Der Linde Gang,1453.0,Jeremy Lin fan club,Van Der Linde Gang,6,10,95.0
2026,2,9,ybgcorp,1364.0,7,Goat's,1339.0,ybgcorp,Goat's,9,7,25.0
2026,3,2,Phantom Troupe,1293.0,8,Hawk Tuah Demure,1675.0,Hawk Tuah Demure,Phantom Troupe,8,2,382.0
2026,3,3,Kat's Kittens,1374.0,1,YSK FC,1733.0,YSK FC,Kat's Kittens,1,3,359.0
2026,3,4,SKAVALASSKKYYYY,1368.0,6,Jeremy Lin fan club,1351.0,SKAVALASSKKYYYY,Jeremy Lin fan club,4,6,17.0
2026,3,5,Poole Party,1217.0,9,ybgcorp,992.0,Poole Party,ybgcorp,5,9,225.0
2026,3,10,Van Der Linde Gang,1246.0,7,Goat's,1222.0,Van Der Linde Gang,Goat's,10,7,24.0
2026,4,8,Hawk Tuah Demure,1400.0,1,YSK FC,1372.0,Hawk Tuah Demure,YSK FC,8,1,28.0
2026,4,6,Jeremy Lin fan club,1361.0,2,Phantom Troupe,1052.0,Jeremy Lin fan club,Phantom Troupe,6,2,309.0
2026,4,9,ybgcorp,1241.0,3,Kat's Kittens,1097.0,ybgcorp,Kat's Kittens,9,3,144.0
2026,4,7,Goat's,1303.0,4,SKAVALASSKKYYYY,1555.0,SKAVALASSKKYYYY,Goat's,4,7,252.0
2026,4,10,Van Der Linde Gang,1671.0,5,Poole Party,1310.0,Van Der Linde Gang,Poole Party,10,5,361.0
2026,5,6,Jeremy Lin fan club,1475.0,8,Hawk Tuah Demure,1490.0,Hawk Tuah Demure,Jeremy Lin fan club,8,6,15.0
2026,5,1,YSK FC,1329.0,9,ybgcorp,1451.0,ybgcorp,YSK FC,9,1,122.0
2026,5,2,Phantom Troupe,1263.0,7,Goat's,1315.0,Goat's,Phantom Troupe,7,2,52.0
2026,5,3,Kat's Kittens,1085.0,10,Van Der Linde Gang,1403.0,Van Der Linde Gang,Kat's Kittens,10,3,318.0
2026,5,4,SKAVALASSKKYYYY,1376.0,5,Poole Party,1157.0,SKAVALASSKKYYYY,Poole Party,4,5,219.0
2026,6,8,Hawk Tuah Demure,1498.0,9,ybgcorp,1286.0,Hawk Tuah Demure,ybgcorp,8,9,212.0
2026,6,7,Goat's,1152.0,6,Jeremy Lin fan club,1250.0,Jeremy Lin fan club,Goat's,6,7,98.0
2026,6,10,Van Der Linde Gang,1103.0,1,YSK FC,1341.0,YSK FC,Van Der Linde Gang,1,10,238.0
2026,6,5,Poole Party,1153.0,2,Phantom Troupe,1311.0,Phantom Troupe,Poole Party,2,5,158.0
2026,6,4,SKAVALASSKKYYYY,1423.0,3,Kat's Kittens,1057.0,SKAVALASSKKYYYY,Kat's Kittens,4,3,366.0
2026,7,7,Goat's,1664.0,8,Hawk Tuah Demure,1787.0,Hawk Tuah Demure,Goat's,8,7,123.0
2026,7,9,ybgcorp,1255.0,10,Van Der Linde Gang,1260.0,Van Der Linde Gang,ybgcorp,10,9,5.0
2026,7,6,Jeremy Lin fan club,1381.0,5,Poole Party,1201.0,Jeremy Lin fan club,Poole Party,6,5,180.0
2026,7,1,YSK FC,1365.0,4,SKAVALASSKKYYYY,1233.0,YSK FC,SKAVALASSKKYYYY,1,4,132.0
2026,7,2,Phantom Troupe,1085.0,3,Kat's Kittens,1387.0,Kat's Kittens,Phantom Troupe,3,2,302.0
2026,8,8,Hawk Tuah Demure,1009.0,10,Van Der Linde Gang,656.0,Hawk Tuah Demure,Van Der Linde Gang,8,10,353.0
2026,8,5,Poole Party,671.0,7,Goat's,733.0,Goat's,Poole Party,7,5,62.0
