week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3945274,Luka Doncic,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",162.0,True,LAL,OUT,True
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3975,Stephen Curry,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",188.0,True,GSW,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,6440,Tobias Harris,PF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",34.0,True,DET,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,4396971,Naz Reid,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",69.0,True,MIN,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,6475,Klay Thompson,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",8.0,True,DAL,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3064290,Aaron Gordon,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",118.0,True,DEN,OUT,True
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3102531,Kristaps Porzingis,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",37.0,True,GSW,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,4278067,Nic Claxton,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",81.0,True,BKN,OUT,True
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3155526,Dillon Brooks,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",37.0,True,PHO,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3992,James Harden,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",141.0,True,CLE,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3917376,Jaylen Brown,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",112.0,True,BOS,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,4397183,Aaron Wiggins,SG,PG,"['SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",14.0,True,OKC,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,4433247,Jonathan Kuminga,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",55.0,True,ATL,ACTIVE,False
1,4,SKAVALASSKKYYYY,8,Hawk Tuah Demure,3032976,Rudy Gobert,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",71.0,True,MIN,ACTIVE,False
