player_name,roster_source,draft_team,final_team,position,pro_team,games_played,actual_total_points,projected_total_points,projection_difference,projection_percentile,percent_above_projection,projection_status
Nikola Jokic,Both,Hawk Tuah Demure,Hawk Tuah Demure,C,DEN,65.0,4310.0,0.0,4310.0,100.0,,Far Above Projection
Luka Doncic,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,PG,LAL,64.0,3785.0,0.0,3785.0,99.44,,Far Above Projection
Shai Gilgeous-Alexander,Both,YSK FC,YSK FC,PG,OKC,68.0,3773.0,0.0,3773.0,98.89,,Far Above Projection
Tyrese Maxey,Both,Kat's Kittens,Kat's Kittens,PG,PHL,70.0,3651.0,0.0,3651.0,98.33,,Far Above Projection
Victor Wembanyama,Both,Van Der Linde Gang,Van Der Linde Gang,C,SAS,64.0,3546.0,0.0,3546.0,97.78,,Far Above Projection
Scottie Barnes,Both,Van Der Linde Gang,Van Der Linde Gang,SF,TOR,80.0,3524.0,0.0,3524.0,97.22,,Far Above Projection
Jamal Murray,Both,Goat's,Goat's,PG,DEN,75.0,3498.0,0.0,3498.0,96.67,,Far Above Projection
Jalen Johnson,Both,ybgcorp,ybgcorp,PF,ATL,72.0,3496.0,0.0,3496.0,96.11,,Far Above Projection
Kevin Durant,Both,Goat's,Goat's,PF,HOU,78.0,3419.0,0.0,3419.0,95.56,,Far Above Projection
Donovan Mitchell,Both,Hawk Tuah Demure,Hawk Tuah Demure,SG,CLE,70.0,3283.0,0.0,3283.0,95.0,,Far Above Projection
Cade Cunningham,Both,Phantom Troupe,Phantom Troupe,PG,DET,64.0,3226.0,0.0,3226.0,94.44,,Far Above Projection
Amen Thompson,Both,Hawk Tuah Demure,Hawk Tuah Demure,SF,HOU,79.0,3194.0,0.0,3194.0,93.89,,Far Above Projection
Kawhi Leonard,Both,Goat's,Goat's,SF,LAC,65.0,3163.0,0.0,3163.0,93.33,,Far Above Projection
Alperen Sengun,Both,YSK FC,YSK FC,C,HOU,72.0,3158.0,0.0,3158.0,92.78,,Far Above Projection
Jalen Brunson,Both,Van Der Linde Gang,Van Der Linde Gang,PG,NYK,74.0,3121.0,0.0,3121.0,92.22,,Far Above Projection
Jaylen Brown,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,SF,BOS,71.0,3095.0,0.0,3095.0,91.67,,Far Above Projection
James Harden,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,PG,CLE,70.0,3045.0,0.0,3045.0,91.11,,Far Above Projection
Karl-Anthony Towns,Both,Kat's Kittens,Kat's Kittens,C,NYK,75.0,2947.0,0.0,2947.0,90.56,,Far Above Projection
Julius Randle,Both,Kat's Kittens,Kat's Kittens,PF,MIN,79.0,2941.0,0.0,2941.0,90.0,,Far Above Projection
Desmond Bane,Both,Phantom Troupe,Phantom Troupe,SG,ORL,82.0,2921.0,0.0,2921.0,89.44,,Above Projection
Derrick White,Both,YSK FC,YSK FC,SG,BOS,77.0,2865.0,0.0,2865.0,88.89,,Above Projection
Bam Adebayo,Both,Goat's,Goat's,C,MIA,73.0,2864.0,0.0,2864.0,88.33,,Above Projection
LaMelo Ball,Both,Jeremy Lin fan club,Jeremy Lin fan club,PG,CHA,72.0,2858.0,0.0,2858.0,87.78,,Above Projection
Nickeil Alexander-Walker,Final,,ybgcorp,SG,ATL,78.0,2838.0,0.0,2838.0,87.22,,Above Projection
Anthony Edwards,Both,Poole Party,Poole Party,SG,MIN,61.0,2780.0,0.0,2780.0,86.67,,Above Projection
Cooper Flagg,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,SF,DAL,70.0,2778.0,0.0,2778.0,86.11,,Above Projection
Dyson Daniels,Both,ybgcorp,ybgcorp,SG,ATL,76.0,2771.0,0.0,2771.0,85.56,,Above Projection
Brandon Ingram,Both,Phantom Troupe,Phantom Troupe,SF,TOR,77.0,2742.0,0.0,2742.0,85.0,,Above Projection
Mikal Bridges,Both,Jeremy Lin fan club,Jeremy Lin fan club,SF,NYK,82.0,2731.0,0.0,2731.0,84.44,,Above Projection
Paolo Banchero,Both,YSK FC,YSK FC,PF,ORL,72.0,2726.0,0.0,2726.0,83.89,,Above Projection
Deni Avdija,Both,Van Der Linde Gang,Hawk Tuah Demure,SF,POR,66.0,2722.0,0.0,2722.0,83.33,,Above Projection
Jalen Duren,Both,Kat's Kittens,Kat's Kittens,C,DET,70.0,2714.0,0.0,2714.0,82.78,,Above Projection
Donovan Clingan,Final,,SKAVALASSKKYYYY,C,POR,77.0,2703.0,0.0,2703.0,81.94,,Above Projection
Ryan Rollins,Final,,ybgcorp,SG,MIL,74.0,2703.0,0.0,2703.0,81.94,,Above Projection
Trey Murphy III,Both,YSK FC,YSK FC,SF,NOP,66.0,2673.0,0.0,2673.0,81.11,,Above Projection
Evan Mobley,Both,Poole Party,Poole Party,PF,CLE,65.0,2658.0,0.0,2658.0,80.56,,Above Projection
Kon Knueppel,Final,,Jeremy Lin fan club,SG,CHA,81.0,2648.0,0.0,2648.0,80.0,,Above Projection
Payton Pritchard,Both,YSK FC,YSK FC,PG,BOS,79.0,2645.0,0.0,2645.0,79.44,,Above Projection
De'Aaron Fox,Both,Poole Party,Poole Party,PG,SAS,72.0,2643.0,0.0,2643.0,78.89,,Above Projection
Chet Holmgren,Both,Jeremy Lin fan club,Jeremy Lin fan club,C,OKC,69.0,2625.0,0.0,2625.0,78.33,,Above Projection
Onyeka Okongwu,Both,Kat's Kittens,Kat's Kittens,C,ATL,74.0,2598.0,0.0,2598.0,77.78,,Above Projection
LeBron James,Both,ybgcorp,ybgcorp,SF,LAL,60.0,2575.0,0.0,2575.0,77.22,,Above Projection
VJ Edgecombe,Final,,Phantom Troupe,SG,PHL,75.0,2550.0,0.0,2550.0,76.67,,Above Projection
Devin Booker,Both,Jeremy Lin fan club,Jeremy Lin fan club,PG,PHO,64.0,2510.0,0.0,2510.0,76.11,,Above Projection
